"start_position  [CDS Start Position (nt)]","ORF_number  [Open Reading Frame]","tir  [Translation Initiation Rate (au)]","dG_total  [Total Gibbs Free Energy Change (kcal/mol)]","dG_mRNA_rRNA  [Gibbs Free Energy Change of mRNA:rRNA complex (kcal/mol)]","dG_spacing  [Gibbs Free Energy Penalty for Non-optimal Spacing (kcal/mol)]","dG_stacking  [Gibbs Free Energy Change of Stacked Nucleotides in Spacer Region (kcal/mol)]","dG_standby  [Gibbs Free Energy Penalty for Ribosome Binding to Standby Site (kcal/mol)]","dG_start  [Gibbs Free Energy Change of mRNA:tRNA complex (kcal/mol)]","dG_mRNA  [Gibbs Free Energy Change of mRNA folded complex (kcal/mol)]","warnings  [Warnings and Errors Issued]"
577,1,15.647931250806407,9.703898719203316,-14.791351948368705,0.288,0,0.5981505149841304,-2.76,-26.09000015258789,
582,0,29.360422491038268,8.305574401479966,-19.811351810085927,0.005325582140839866,0,3.840000629425049,-2.76,-27.25,
600,0,0.8524880987858091,16.169773733907938,-13.381351504910148,0.005325582140839866,0,1.7899999618530273,1.81,-26.06999969482422,
619,1,1.4116170689657683,15.049148174416864,-15.341351215231574,0,0,0,-0.42,-30.889999389648438,
628,1,3.905464105880477,12.787950493037549,-18.101351414311086,0.6719999999999999,0,0.26000022888183594,-2.76,-32.4900016784668,
645,0,1.22140413603363,15.37074884794935,-14.881351266491569,0.288,0,1.8667994277954136,-2.76,-30.780000686645508,
649,1,15.873846431037762,9.672048223292677,-25.36135212003008,0,0,9.220000267028809,-2.76,-28.920000076293945,
670,1,163.4694904198432,4.490447560489024,-24.26135138093249,1.152,0,1.2985995517730764,1.81,-24.889999389648438,
699,0,56.74195375395612,6.841573552709818,-18.111351762402215,0.005325582140839866,0,1.2100000381469727,-2.76,-27.06999969482422,
702,0,32.157544281759726,8.103373538404703,-19.851351891148244,0.005325582140839866,0,3.8400001525878906,-2.76,-27.06999969482422,
706,1,13.388834638824346,10.050347617709484,-18.941351924526845,1.152,0,3.8400001525878906,-2.76,-27.389999389648438,
721,1,185.38102561837712,4.210948991000496,-15.421351466763175,0,0,1.3199996948242188,-2.76,-20.950000762939453,
729,0,8.104672137698119,11.165748113620127,-17.10135177193896,4.992,0,0.1367998855590855,-0.42,-23.75,
733,1,0.7879329975062096,16.34474777029737,-14.101351771938957,9.792,0,0.7224000000000004,-2.76,-23.229999542236328,
739,1,53.84903599800466,6.957849391543711,-19.08135179101244,0,0,3.90000057220459,-2.76,-24.860000610351562,
766,1,18.982554043857906,9.274649138820017,-16.701351318943658,0.288,0,0.31999969482421875,-2.76,-28.450000762939453,
787,1,7.287678217935241,11.401848269784296,-20.501351539480844,1.152,0,1.6899995803833008,-2.76,-31.760000228881836,
793,1,4.698982377648693,12.376948609530775,-18.001351390469228,3.168,0,2.4986000762939504,-2.76,-28.079999923706055,
796,1,8.971675116514517,10.93992247028947,-19.651352320301687,0.005325582140839866,0,0.896549284744264,1.81,-28.079999923706055,
811,1,23.700974857505237,8.781374401479962,-20.511351619351064,0.005325582140839866,0,-4.76837158203125e-7,-0.42,-29.540000915527344,
861,0,147.34846189625995,4.721149153125133,-22.17135194360033,1.525,0,0.016800715255740784,-2.76,-28.100000381469727,
889,1,1.750737116228266,14.57074934385999,-23.141351495373407,3.168,0,6.552399923706055,1.81,-26.790000915527344,
907,1,14.370032013795615,9.89319932478651,-16.611351762402215,0.288,0,3.6885504768371593,-2.76,-25.610000610351562,
911,2,1.8183115021828808,14.4865990577577,-14.581351075756706,2.4,0,2.3165495994567884,-0.42,-25.440000534057617,
914,2,5.757846480302616,11.925399191272106,-22.35135057984606,1.525,0,4.438150000000002,-0.42,-28.989999771118164,
942,0,4.540056280489354,12.453399988782255,-23.621351365435277,1.525,0,1.3021495231628428,-2.76,-36.08000183105469,
952,1,5.175097153044968,12.162498628604258,-24.63135150491015,2.4,0,1.3021495231628428,-2.76,-36.11000061035156,
967,1,17.313482366480937,9.479150516879404,-30.581350837338125,0,0,1.2697998283386234,1.81,-37.150001525878906,
981,0,7.973339469758354,11.202049577510206,-26.95135227261797,1.525,0,3.438601087188726,-0.42,-33.70000076293945,
1003,1,4.012904210238937,12.727648533236824,-34.65135148583666,14.4,0,0.21680047683715742,-2.76,-36.47999954223633,
1015,1,205.09700072803176,3.986372036367662,-28.471351657498037,0.005325582140839866,0,2.736799790191654,-2.76,-32.5099983215332,
1024,1,10.278607495583955,10.637747384059274,-24.141351376164113,0,0,2.643600133514404,-0.42,-32.939998626708984,
1027,1,12.689502416979504,10.169549148356761,-25.011351976978933,0.6719999999999999,0,3.9798008201599124,-2.76,-33.93000030517578,
1029,0,14.917299179495418,9.810148452174506,-23.821352158177053,1.525,0,2.869800686645508,-0.42,-29.829999923706055,
1033,1,15.82890287746932,9.678348285281505,-22.501351867306386,0.6719999999999999,0,2.689800381469727,-0.42,-29.739999771118164,
1070,2,22.729726002054235,8.874348652446114,-13.601351175892509,1.728,0,1.5199999809265137,-0.42,-20.40999984741211,
1072,1,11.276080058907135,10.431948232829416,-12.571351442921317,3.168,0,1.5999999046325684,-0.42,-19.489999771118164,
1078,1,18.173137882361136,9.371474534994364,-14.851351771938957,0.005325582140839866,0,3.0500001907348633,1.81,-19.190000534057617,
1122,0,0.8507348993117964,16.174348132693613,-13.331351791012443,2.4,0,1.0898000000000003,-0.42,-27.079999923706055,
1125,0,3.880763895097714,12.802048218524298,-18.0913517814757,0,0,5.680000305175781,-2.76,-28.31999969482422,
1158,0,7.325496401213754,11.390347388827642,-16.521351609814324,0.6719999999999999,0,3.052399685287476,-2.76,-26.719999313354492,
1167,0,183.21010638808582,4.23712345853448,-22.981352005589166,0.005325582140839866,0,2.247349500513078,-2.76,-27.850000381469727,
1177,1,18.977448481790404,9.275246850001661,-24.661352310764943,0.288,0,0.07860000000000511,1.81,-31.3799991607666,
1186,1,9.297120147962245,10.860747531878793,-24.02135208665148,1.152,0,0.4314,1.81,-31.649999618530273,
1210,1,3.3154925351213405,13.151848399722422,-15.651351485836662,0.6719999999999999,0,2.140000343322754,-0.42,-26.479999542236328,
1213,1,25.941991008319366,8.580623923450705,-17.121351276028314,0.005325582140839866,0,2.278150075101852,-2.76,-26.479999542236328,
1215,0,115.36484810312454,5.264873824506996,-21.361351762402215,0.005325582140839866,0,0.8624004625320438,-0.42,-26.479999542236328,
1221,0,183.39780196867525,4.234848223292669,-20.951351438152948,1.728,0,0.43140011920928956,-2.76,-26.479999542236328,
1318,1,12.401986126672753,10.22047391987443,-14.911351357090629,0.005325582140839866,0,0,-2.76,-27.81999969482422,
1339,1,6.191364943277171,11.764099677646005,-25.161352191555657,6.048,0,0.5673509536743175,-2.76,-34.040000915527344,
1374,0,10.216340667219624,10.651248986232128,-17.921351585972463,0,0,4.939999961853028,-2.76,-26.360000610351562,
1396,1,66.06807347585514,6.5034478918908505,-21.63135180293337,1.152,0,3.5638002288818367,-2.76,-26.559999465942383,
1416,0,33.402874241655056,8.018948938548405,-21.661350880253472,0.6719999999999999,0,-7.152557373046875e-7,1.81,-27.440000534057617,
1420,1,101.41352901486871,5.551274501615765,-21.141350899326955,0.005325582140839866,0,-7.152557373046875e-7,-0.42,-27.440000534057617,
1461,0,2.9420519489643566,13.417374979048967,-11.431351919162429,0.005325582140839866,0,4.76837158203125e-7,-2.76,-27.6200008392334,
1464,0,27.68852437861636,8.435849258625353,-18.061351437556898,0,0,3.7299997806549072,-2.76,-26.040000915527344,
1472,2,5.244553017124208,12.132875135809185,-14.521351132977165,0.005325582140839866,0,1.0898000000000003,1.81,-24.530000686645508,
1509,0,4.834118213097003,12.313948762118663,-21.011352096188222,0.6719999999999999,0,7.072800476837159,-2.76,-28.600000381469727,
1519,1,103.4929787667022,5.506173972326515,-19.271351132977166,0.005325582140839866,0,0.7223995231628422,-2.76,-26.75,
1534,1,0.6775701690247626,16.68004743651136,-8.111351762402213,1.728,0,1.869999885559082,-2.76,-24.219999313354492,
1594,1,0.7609420761201714,16.42219739836439,-9.951351914990104,0,0,1.302150000000001,-0.42,-25.469999313354492,
1636,1,13.896526661552226,9.967649655592286,-15.681350458848632,1.525,0,3.5099992752075195,-2.76,-23.3700008392334,
1642,1,29.709005109846135,8.279349005305612,-15.991350803959525,0,0,2.939999580383301,-2.76,-24.260000228881836,
1651,1,19.605077500508532,9.202949110209786,-15.421351347553886,0.6719999999999999,0,0,-2.76,-26.770000457763672,
1712,2,82.77019359873647,6.002648223292674,-14.111351166355766,0.288,0,0.6700000762939453,-2.76,-21.719999313354492,
1724,2,23.002671716258124,8.847825110775236,-19.231352035391485,0.005325582140839866,0,2.6473508773803722,-0.42,-25.780000686645508,
1750,1,0.2373926711521778,19.010475498205423,-15.781351838696159,0.005325582140839866,0,4.370000839233398,1.81,-28.540000915527344,
1764,0,66.81859340605693,6.478348714434944,-19.871351752865472,1.728,0,0.21680023841857832,-2.76,-27.010000228881836,
1777,1,4.1066275650024435,12.676349382006968,-20.071351800549184,0,0,5.973600343322754,-0.42,-27.3700008392334,
1791,0,2.363992713547729,13.903449172198616,-22.21135166703478,1.525,0,3.0900001525878906,1.81,-29.780000686645508,
1810,1,0.922352820397771,15.994749970900857,-22.671352241623556,0,0,5.943801296997071,1.81,-30.790000915527344,
1816,1,25.561561735864853,8.613449978053414,-23.8513512951018,1.525,0,1.089800357627869,-2.76,-32.790000915527344,
1822,1,0.12332911515527757,20.465572408300638,-19.151351724255242,0.005325582140839866,0,5.079999923706055,1.81,-32.939998626708984,
1861,1,0.00006391729622874378,37.275050831591926,-17.151351724255242,14.4,0,2.9900007247924805,-0.42,-36.58000183105469,
1864,1,0.7507114547655511,16.452274115377666,-21.961350474941884,0.005325582140839866,0,4.109798550415039,-0.42,-35.02000045776367,
1870,1,4.929854107443843,12.270373879343275,-24.411350939858114,0.005325582140839866,0,0.279998779296875,1.81,-35.02000045776367,
1875,0,5.39804970171433,12.068775536352398,-25.451350961315786,0.005325582140839866,0,0.4314,1.81,-35.290000915527344,
1894,1,1.4801221074912858,14.943850516879404,-20.97135070382372,0.288,0,0,-0.42,-35.970001220703125,
1903,1,22.580124293505833,8.88902167397142,-24.961352143871938,0.005325582140839866,0,3.688549761581422,-2.76,-32.849998474121094,
1916,2,0.2380266827075355,19.00454904822096,-15.411351714718498,0.6719999999999999,0,0.09000015258789062,1.81,-31.610000610351562,
1951,1,43.852383426633466,7.414149157893501,-19.69135061322466,1.525,0,3.219799160766602,-2.76,-25.110000610351562,
1986,0,679.8507107794534,1.3235490351079378,-31.651352528917943,0.288,0,0.7224009536743168,-0.42,-32.61000061035156,
2056,1,1.4107907787490572,15.050449203193036,-18.42135140715853,0,0,0.41860015258789574,1.81,-31.020000457763672,
2058,0,3.826826093446391,12.833147888314567,-18.611351196158086,0,0,0.4314,-0.42,-31.709999084472656,
2077,1,0.6705542319695934,16.703175202566392,-25.881351981747304,0.005325582140839866,0,5.763400534057618,1.81,-35.130001068115234,
2134,1,116.55859888314609,5.241999572741829,-29.12135199128405,4.032,0,0.03815095367431809,-0.42,-31.360000610351562,
2149,1,26.068095035709845,8.56984894808516,-20.79135051785723,0.6719999999999999,0,0.07860000000000511,-0.42,-28.809999465942383,
2152,1,11.062951166027657,10.474348170840585,-14.601351295101798,0,0,0.4314,-0.42,-25.309999465942383,
2199,0,6.48556206106164,11.660947961032237,-16.56135157166735,2.4,0,-2.384185791015625e-7,-0.42,-25.739999771118164,
2212,1,0.5269028611424131,17.238873571783305,-12.961350713360465,0.005325582140839866,0,0.1999988555908203,1.81,-28.40999984741211,
2215,1,10.77161226831534,10.533648046862929,-13.781350885021842,0,0,0.2167988555908238,-2.76,-27.420000076293945,
2221,1,135.6932556450744,4.904249520289746,-20.771351013767873,1.152,0,2.1167999999999996,-0.42,-23.190000534057617,
2227,1,224.32287116424416,3.787273366743328,-23.55135217725054,0.005325582140839866,0,2.4700002670288086,1.81,-23.56999969482422,
2231,2,282.8497289018404,3.272148528468456,-24.531352196324026,1.152,0,2.4700002670288086,-2.76,-28.020000457763672,
2236,1,45.12773189277879,7.350449119746536,-24.501351986515676,4.992,0,2.4700002670288086,-2.76,-28.6200008392334,
2250,0,2.129733160853397,14.135326697692774,-24.021351609814324,11.9566774682737,0,0,-0.42,-26.6200008392334,
2283,0,0.6064221190602401,16.926549024379096,-17.17135110913531,7.199999999999999,0,0.7223995231628422,-2.76,-29.610000610351562,
2332,1,98.14142873709274,5.624149248492564,-18.271351132977166,1.728,0,0.01680000000000348,-2.76,-24.850000381469727,
2338,1,103.15008461033428,5.5135481517671,-21.361351047146478,0.288,0,0.50859935150147,1.81,-24.65999984741211,
2373,0,1.1546939905442004,15.495549172198622,-13.781351361859,1.152,0,2.568599771118169,1.81,-23.950000762939453,
2395,1,4.109773897601543,12.674647626948204,-18.881351333546792,0.6719999999999999,0,4.049799799728394,1.81,-24.8799991607666,
2401,1,5.648637550496285,11.967948614299143,-18.201351795780813,0,0,1.4800002574920654,1.81,-26.84000015258789,
2429,2,2.1829612297584458,14.080475245481736,-21.90135136662737,0.005325582140839866,0,4.2400007247924805,-2.76,-34.43000030517578,
2437,1,0.2675975756846939,18.744349539363228,-21.611350927937185,1.525,0,3.03999924659729,1.81,-33.970001220703125,
2452,1,3.4418346571960905,13.068749000537238,-19.561351571667352,1.152,0,0.869999885559082,-0.42,-31.030000686645508,
2470,1,15.898866018711194,9.668548771655413,-18.731350694286977,0,0,2.2185993896484426,-2.76,-29.420000076293945,
2503,1,508.909075910666,1.9670488193391265,-26.481352124798452,0,0,0.016800715255740784,-2.76,-31.260000228881836,
2507,2,10.306861728495926,10.631647844207134,-18.98135123072878,1.728,0,-2.384185791015625e-7,-0.42,-28.719999313354492,
2529,0,212.68500807355383,3.905648566615426,-16.231351051914846,1.728,0,1.1700000762939453,-2.76,-20.229999542236328,
2534,2,47.59760826939242,7.23204860953077,-13.401351008999503,0,0,1.1700000762939453,-0.42,-20.229999542236328,
2540,2,107.50207506233424,5.421723800665138,-19.801351342785516,0.005325582140839866,0,4.132150400543214,-2.76,-23.8799991607666,
2543,2,65.53945802658458,6.521297779834111,-20.231351647961297,0.288,0,5.534550267028809,-2.76,-23.8799991607666,
2589,0,0.0012418191727448429,30.68294864767774,-17.63135150491015,26.208,0,0,1.81,-21.09000015258789,
2640,0,576.4423419413256,1.6901743919432164,-14.481351647961295,0.005325582140839866,0,1.7798005340576175,-2.76,-17.579999923706055,
2657,2,36.18190126528019,7.841373192697764,-13.861351702797569,0.005325582140839866,0,0,1.81,-19.719999313354492,
2663,2,22.164043368640794,8.930348108851755,-12.321351204502738,0.6719999999999999,0,0,1.81,-19.719999313354492,
2667,0,82.0580668084067,6.021848275148713,-11.51135103820578,1.728,0,0,-2.76,-19.719999313354492,
2671,1,12.112531343655395,10.272948819339122,-10.60135105668322,0.6719999999999999,0,5.100399570846559,-2.76,-18.18000030517578,
2675,2,7.489756469693018,11.341073733907942,-7.871351037609733,0.005325582140839866,0,2.5285995708465627,-0.42,-17.399999618530273,
2682,0,94.90545669801776,5.698649320614187,-12.511351366031326,0,0,0.07860000000000511,-0.42,-18.530000686645508,
2684,2,69.5680247380671,6.388749539959276,-10.751351613986648,0.6719999999999999,0,2.384185791015625e-7,-0.42,-17.040000915527344,
2703,0,26.052845955128674,8.571149134051645,-15.391351495373405,0.288,0,1.1500000953674316,1.81,-20.940000534057617,
2721,0,98.33159573769773,5.6198478823541045,-9.351351354706443,0.288,0,0,-2.76,-17.549999237060547,
2754,0,914.9810877058378,0.6635480089394719,-17.441351457002913,0,0,1.5335999999999999,-2.76,-19.809999465942383,
2759,2,104.74058360253593,5.479547994410838,-18.041351471531545,0.6719999999999999,0,2.0538000000000007,1.81,-19.809999465942383,
